keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
supersure.com,SuperSure.com,insurance,report_now,keep_active,high,5,klif-am-570; woai-am-1200; wsb-am-750,supersure.com,,1781576309.587367,1781926054.464995,advanced AI software for insurance,company_name + websites + offers,Financial vertical: insurance. 5 detections across radio.
diaco law,Diaco Law,legal_financial,report_now,keep_active,low,5,whbo-1040,diacolaw.com; stoptechstoprecs.org,8004264983,1781139831.0782297,1781922470.5315607,,company_name + websites,Financial vertical: legal_financial. 5 detections across radio.
ethos,ethos,insurance,report_now,keep_active,high,5,kabc-am-790; wbap-am-820; whbo-1040; wsb-am-750,ethos.com/slash-term; ethosdoc; sleepnumber.com,,1781599285.2028813,1781915382.7627306,life insurance quote and coverage,company_name + websites + offers,Financial vertical: insurance. 5 detections across radio.
lockwood capital,Lockwood Capital,unknown_financial_review,manual_review,keep_active,low,5,woai-am-1200,lockwoodcapgroup.com,,1781701916.0313008,1781899290.0553927,commercial real estate investment opportunities with a local faith-based partner,company_name + websites + offers,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.
aspire allergy and sinus,Aspire Allergy and Sinus,unknown_general_review,store_only,keep_active,low,5,ktrh-am-740,aspireallergy.com,,1781608760.7311785,1781895600.4626122,allergy treatment,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 5 detections. Archived for future offers."
brickhouse nutrition,Brickhouse Nutrition,health_supplement,store_only,keep_active,low,5,klif-am-570; wbap-am-820,lean.com; takelean.com,,1781153324.1753669,1781888213.749658,20% off with free rush shipping,company_name + websites + offers,Non-financial (health_supplement). 5 detections. Archived for future offers.
rough greens,Rough Greens,unknown_general_review,store_only,keep_active,low,5,kabc-am-790; ktrh-am-740; woai-am-1200,roughgreens.com,,1781624811.0534194,1781882073.7388113,free trial bag for dog supplements,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 5 detections. Archived for future offers."
tra (tax relief advocates),TRA (Tax Relief Advocates),tax_relief,report_now,keep_active,high,5,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040,tra.com,8005508178; 8005759871,1781150311.5776,1781877544.0584593,solution for IRS debt,company_name + websites + offers,Financial vertical: tax_relief. 5 detections across radio.
rockauto.com,rockauto.com,automotive_non_financing,store_only,keep_active,low,5,woai-am-1200,rockauto.com,,1781605185.978651,1781877385.927651,parts shipped to your door,company_name + websites + offers,Non-financial (automotive_non_financing). 5 detections. Archived for future offers.
big lou,Big Lou,insurance,report_now,keep_active,high,5,kabc-am-790; klif-am-570; wbap-am-820,biglou.com,8004368220; 8005551509,1781147424.2760255,1781841259.500403,affordable term life insurance for normal people,company_name + websites + offers,Financial vertical: insurance. 5 detections across radio.
blindster.com,Blindster.com,unknown_general_review,store_only,keep_active,low,5,kabc-am-790; ktrh-am-740,blindster.com,,1781709234.2382016,1781833530.248916,affordable blinds for home installation,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 5 detections. Archived for future offers."
mark deedle,Mark Deedle,unknown_general_review,store_only,keep_active,low,5,wibc-fm-931,markdeedle.com,3177554232,1781551047.8395197,1781832018.5405307,guaranteed home sale with deadline or buyout,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 5 detections. Archived for future offers."
sweet james,Sweet James,legal_financial,report_now,keep_active,low,5,wsb-am-750,sweetjames.com,180096455466; 8009000000; 8009001234; 8009009000,1781585916.6567743,1781790530.55271,"free case review, expert advice",company_name + websites + offers,Financial vertical: legal_financial. 5 detections across radio.
buhr remodeling,Buhr Remodeling,home_service,store_only,keep_active,low,5,wibc-fm-931,buhremodeling.com; buhrremodeling.com,,1781556971.1514645,1781789563.626729,"free consultation, complete glasses starting at $95",company_name + websites + offers,Non-financial (home_service). 5 detections. Archived for future offers.
"trajan wealth, llc","Trajan Wealth, LLC",unknown_financial_review,manual_review,keep_active,low,5,woai-am-1200; wsb-am-750,trajanewealth.com; trajanwealth.com,18558725261; 8558724361; 8558725261,1781606569.8810112,1781753401.1090853,complimentary consultation and interest-free financing for water softener,company_name + websites + offers,Reclassified from other: financial terms in name. Non-financial (other). 5 detections. Archived for future offers.
retirement through design,Retirement Through Design,unknown_financial_review,manual_review,keep_active,low,4,kabc-am-790,https://www.retirementthroughdesign.com; retirementthroughdesign.com; retirementthru.design.com,8004991658,1781963005.3197374,1781989063.8606498,free custom portfolio review,company_name + websites + offers,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.
southwest exteriors,Southwest Exteriors,unknown_general_review,store_only,keep_active,low,4,woai-am-1200,southwestexteriors.com,,1781607271.0179908,1781984593.62538,0% interest for two years on window replacement,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
southwest metal roofing systems,Southwest Metal Roofing Systems,home_service,store_only,keep_active,low,4,woai-am-1200,sw metalroofing.com; swmetalroofing.com,2108226868,1781959455.6135294,1781984073.203754,,company_name + websites,Non-financial (home_service). 4 detections. Archived for future offers.
iheartradio,iHeartRadio,media_internal,store_only,keep_archive,low,4,wtam-am-1100,,,1781801696.6644394,1781981735.3717225,"$250,000 in cash to win an American getaway",company_name + offers,Non-financial (media_internal). 4 detections. Archived for future offers.
hoffman financial group,Hoffman financial group,unknown_financial_review,manual_review,keep_active,low,4,wsb-am-750,unleashyourmoney.com,4046405511,1781730926.9803438,1781981336.9291553,"free estimate, portfolio analysis",company_name + websites + offers,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.
top shelf country cruise,Top Shelf Country Cruise,travel,store_only,keep_active,low,4,klif-am-570; ktrh-am-740; wsb-am-750,topshelfcountrycruise.com,,1781601609.4164898,1781978579.9253397,"luxurious cruise with performances by Riley Green, Chris Young, Lauren Alaina, and Randy Hauser",company_name + websites + offers,Non-financial (travel). 4 detections. Archived for future offers.
vincent financial group,Vincent Financial Group,unknown_financial_review,manual_review,keep_active,low,4,wsb-am-750,,7707410120,1781616101.9114015,1781974403.28575,initial consultation for financial advice,company_name + offers,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.
secure financial management,Secure Financial Management,unknown_financial_review,manual_review,keep_active,low,4,woai-am-1200,clearskiesretirement.com; retire210.com; retire2ten.com,2109856200,1781972969.7741556,1781974182.7358365,,company_name + websites,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.
hubler,Hubler,home_auto_financing,report_now,keep_active,medium,4,wibc-fm-931,drivehubler.com,,1781693054.063839,1781970176.223579,zero down auto financing,company_name + websites + offers,Financial vertical: home_auto_financing. 4 detections across radio.
morgan and morgan,Morgan and Morgan,legal_financial,report_now,keep_active,low,4,ktrh-am-740; wibc-fm-931; wsb-am-750,beyondbelief.com; forthepeople.com,1917322478733828526824367442; 19173224873328526824367442; 5613487200,1781747914.5497296,1781964830.583458,,company_name + websites,Financial vertical: legal_financial. 4 detections across radio.
ragsdale heating and air,Ragsdale Heating and Air,home_service,store_only,keep_active,low,4,wsb-am-750,ragsdaleair.com,4048720750,1781619734.5978932,1781964307.7409444,air conditioning system installation with warranty,company_name + websites + offers,Non-financial (home_service). 4 detections. Archived for future offers.
peach state hardwood floors,Peach State Hardwood Floors,home_service,store_only,keep_active,low,4,wsb-am-750,peachstatehardwood.com,,1781654328.3761678,1781961762.2966716,"$1,000 off floor replacement with 12 months of financing at 0%",company_name + websites + offers,Non-financial (home_service). 4 detections. Archived for future offers.
revive san antonio,Revive San Antonio,unknown_general_review,store_only,keep_active,low,4,woai-am-1200,revivemen'shealth.com,2106157777,1781712112.6293466,1781957807.981657,$400 wellness panel for men,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
fair co-op,Fair Co-op,media_internal,store_only,keep_archive,low,4,ktrh-am-740,fair.coop/slash iheart; fair.coop/slash/iheart,,1781677967.9163134,1781951313.3125212,"earn up to 90% as a driver, referral rewards",company_name + websites + offers,Non-financial (other). 4 detections. Archived for future offers.
st. christopher truckers fund,St. Christopher Truckers Fund,nonprofit,store_only,keep_active,low,4,kabc-am-790; whbo-1040; wwtn-fm-997,truckersfund.org,,1781601872.8585851,1781949453.100873,free health and wellness program for truck drivers,company_name + websites + offers,Non-financial (nonprofit). 4 detections. Archived for future offers.
john foy and associates,John Foy and Associates,unknown_general_review,store_only,keep_active,low,4,wsb-am-750,johnfoy.com,,1781581887.1478813,1781948981.8177936,free case evaluation for car accident injuries,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
incogni,Incogni,identity_protection,report_now,keep_active,low,4,wbap-am-820; wibc-fm-931,https://www.incogni.com/; incogni.com/katz; incogni.com/pags; incogni.com/slash-pags,,1781141083.0362775,1781925819.888085,60% off data protection service,company_name + websites + offers,Financial vertical: identity_protection. 4 detections across radio.
trajan wealth llc,Trajan Wealth LLC,unknown_financial_review,manual_review,keep_active,low,4,woai-am-1200,trajanewealth.com; trajanwealth.com,8558724361; 8558725261,1781552009.6142871,1781901200.9256978,"complimentary consultation, private market opportunities, fiduciary services",company_name + websites + offers,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.
four seasons home care,Four Seasons Home Care,other,store_only,keep_active,low,4,wsb-am-750,,,1781561986.7152123,1781900849.1158001,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 4 detections. Archived for future offers.
helzberg,Helzberg,unknown_general_review,store_only,keep_active,low,4,wibc-fm-931,helzberg.com,,1781618214.5520177,1781898399.2027445,diamond rings for proposal,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
tom rash lincoln,Tom Rash Lincoln,other,store_only,keep_active,low,4,wibc-fm-931,,,1781565394.5075636,1781895342.1875958,employee pricing on luxury Lincolns,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 4 detections. Archived for future offers.
sabre,Sabre,unknown_general_review,store_only,keep_active,low,4,ktrh-am-740; woai-am-1200,sabreprotect.com,8448247233,1781548112.7649379,1781893133.0382228,home defense products on Amazon,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
revive men's health,Revive Men's Health,unknown_general_review,store_only,keep_active,low,4,woai-am-1200,revivemen'shealth.com; revivemenhealth.com,2106157777,1781878079.7828038,1781892353.446229,comprehensive wellness panel,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 4 detections. Archived for future offers."
mattress firm,Mattress Firm,other,store_only,keep_active,low,4,kabc-am-790; wsb-am-750,,,1781703037.142595,1781890977.6020098,July 4th sale,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 4 detections. Archived for future offers.
